"key","message","comment","context"
"Refresh",,,"webapp/js/view/view.form.js:706
webapp/js/view/view.portal.js:267
webapp/partials/nav-tabs.html:21
webapp/partials/system.html:63
webapp/partials/views/calendar.html:11
webapp/partials/views/trail.html:10"
"Remember me",,,"webapp/login.jsp:25"
"Remove",,,"webapp/js/form/form.relational.multiple.js:577
webapp/js/view/view.popup.js:724"
"Sa",,,"webapp/js/form/form.input.datetime.js:61"
"Sat",,,"webapp/js/form/form.input.datetime.js:60"
"Saturday",,,"webapp/js/form/form.input.datetime.js:58"
"Save",,,"webapp/js/widget/widget.search.js:952
webapp/partials/preferences.html:15
webapp/partials/views/form.html:12
webapp/partials/views/form.html:13
webapp/partials/views/grid.html:13
webapp/partials/views/grid.html:14"
"Save as",,,"webapp/js/widget/widget.search.js:953"
"Save filter as",,,"webapp/js/widget/widget.search.js:947"
"Search",,,"webapp/js/view/view.search.js:576"
"Search Objects",,,"webapp/js/view/view.search.js:533"
"Search...",,,"webapp/js/form/form.relational.multiple.js:706
webapp/js/form/form.relational.multiple.js:712
webapp/js/form/form.relational.single.js:284"
"Second",,,"webapp/js/form/form.input.datetime.js:65"
"Select",,,"webapp/js/form/form.relational.multiple.js:1082
webapp/js/form/form.relational.multiple.js:1083
webapp/js/form/form.relational.multiple.js:578
webapp/js/form/form.relational.nested.js:349
webapp/js/form/form.relational.single.js:182
webapp/js/view/view.popup.js:647"
"Sep",,,"webapp/js/form/form.input.datetime.js:46"
"September",,,"webapp/js/form/form.input.datetime.js:32"
"Server is not responding.",,,"webapp/partials/login-window.html:14"
"Share",,,"webapp/js/widget/widget.search.js:949"
"Show",,,"webapp/js/form/form.relational.multiple.js:1084
webapp/js/widget/widget.slickgrid.js:1104"
"Show Details",,,"webapp/js/axelor.app.js:384"
"Show archived",,,"webapp/js/widget/widget.search.js:481"
"Sort Ascending",,,"webapp/js/widget/widget.slickgrid.js:530"
"Sort Descending",,,"webapp/js/widget/widget.slickgrid.js:534"
"Stack %",,,"webapp/js/view/view.chart.js:566"
"Stacked",,,"webapp/js/view/view.chart.js:27
webapp/js/view/view.chart.js:563"
"Stream",,,"webapp/js/view/view.chart.js:564"
"Su",,,"webapp/js/form/form.input.datetime.js:61"
"Success",,,"webapp/js/lib/dialogs.js:213"
"Sun",,,"webapp/js/form/form.input.datetime.js:60"
"Sunday",,,"webapp/js/form/form.input.datetime.js:52"
"System Information",,,"webapp/partials/about.html:45
webapp/partials/system.html:4"
"Th",,,"webapp/js/form/form.input.datetime.js:61"
"The following fields are invalid:",,,"webapp/js/view/view.form.js:1040"
"The record has been updated or delete by another action.",,,"webapp/js/view/view.form.js:433"
"There are some invalid rows.",,,"webapp/js/widget/widget.slickgrid.js:893"
"Thu",,,"webapp/js/form/form.input.datetime.js:60"
"Thursday",,,"webapp/js/form/form.input.datetime.js:56"
"Today",,,"webapp/partials/views/calendar.html:16"
"Toggle",,,"webapp/js/view/view.portal.js:268"
"Total Memory",,,"webapp/partials/system.html:24"
"Tu",,,"webapp/js/form/form.input.datetime.js:61"
"Tue",,,"webapp/js/form/form.input.datetime.js:60"
"Tuesday",,,"webapp/js/form/form.input.datetime.js:54"
"Ungroup",,,"webapp/js/widget/widget.slickgrid.js:542"
"Unknown",,,"webapp/js/view/view.calendar.js:144
webapp/js/view/view.calendar.js:204"
"Update",,,"webapp/js/widget/widget.update.js:419"
"Update all",,,"webapp/js/widget/widget.update.js:422"
"Updated By:",,,"webapp/js/view/view.form.js:694"
"Updated On:",,,"webapp/js/view/view.form.js:690"
"Upload",,,"webapp/js/view/view.popup.js:722"
"Used Memory",,,"webapp/partials/system.html:28"
"User",,,"webapp/partials/login-window.html:4
webapp/partials/system.html:44"
"User name",,,"webapp/login.jsp:28"
"Validation error",,,"webapp/js/form/form.actions.js:294"
"View",,,"webapp/js/form/form.input.static.js:165"
"Warning",,,"webapp/js/form/form.actions.js:503
webapp/js/lib/dialogs.js:34"
"We",,,"webapp/js/form/form.input.datetime.js:61"
"Wed",,,"webapp/js/form/form.input.datetime.js:60"
"Wednesday",,,"webapp/js/form/form.input.datetime.js:55"
"Week",,,"webapp/partials/views/calendar.html:7"
"Wk",,,"webapp/js/form/form.input.datetime.js:62"
"Would you like to reload the current record?",,,"webapp/js/view/view.form.js:434"
"Would you like to remove the filter?",,,"webapp/js/widget/widget.search.js:697"
"Yes",,,"webapp/js/lib/dialogs.js:62"
"You are not allow to upload a file bigger than",,,"webapp/js/form/form.input.binary.js:168
webapp/js/view/view.popup.js:399"
"and",,,"webapp/js/widget/widget.search.js:475"
"and {0} more",,,"webapp/js/form/form.input.select.js:425"
"contains",,,"webapp/js/widget/widget.search.js:32"
"doesn't contain",,,"webapp/js/widget/widget.search.js:33"
"equals",,,"webapp/js/widget/widget.search.js:25"
"greater or equal",,,"webapp/js/widget/widget.search.js:27"
"greater than",,,"webapp/js/widget/widget.search.js:29"
"in range",,,"webapp/js/widget/widget.search.js:35"
"is false",,,"webapp/js/widget/widget.search.js:42"
"is not null",,,"webapp/js/widget/widget.search.js:39"
"is null",,,"webapp/js/widget/widget.search.js:38"
"is true",,,"webapp/js/widget/widget.search.js:41"
"less or equal",,,"webapp/js/widget/widget.search.js:28"
"less than",,,"webapp/js/widget/widget.search.js:30"
"not equal",,,"webapp/js/widget/widget.search.js:26"
"not in range",,,"webapp/js/widget/widget.search.js:36"
"or",,,"webapp/js/widget/widget.search.js:478"
"{0} of {1}",,,"webapp/js/view/view.form.js:628"
"{0} to {1} of {2}",,,"webapp/js/view/view.grid.js:353
webapp/js/view/view.tree.js:417"
